Vendor name,Category,Subcategories,Funding accepted,Contact name,Email,Phone,Website,Location,Address
Waterworks Aquatics,Social Recreation,Swim,ACE FMS,Keith Domines,charterschool@waterworksswim.com,(949)-450-0777,waterworksswim.com,San Francisco/20th Ave @ City Sports Club,3201 20th Ave San Francisco CA 94132
Waterworks Aquatics,Social Recreation,Swim,ACE FMS,Keith Domines,charterschool@waterworksswim.com,(949)-450-0777,waterworksswim.com,Hayward-Whipple @ City Sports Club,"2401 Whipple Road Hayward CA, 94544"
Waterworks Aquatics,Social Recreation,Swim,ACE FMS,Keith Domines,charterschool@waterworksswim.com,(949)-450-0777,waterworksswim.com,Concord @ City Sports Club,"2075 Diamond Blvd - 170 Concord CA, 94520"
Waterworks Aquatics,Social Recreation,Swim,ACE FMS,Keith Domines,charterschool@waterworksswim.com,(949)-450-0777,waterworksswim.com,Hayward-Hesperian @ City Sports Club,"24500 Hesperian Blvd. Hayward CA, 94545"
Waterworks Aquatics,Social Recreation,Swim,ACE FMS,Keith Domines,charterschool@waterworksswim.com,(949)-450-0777,waterworksswim.com,Hayward-Foothill @ City Sports Club,"22327 Foothill Blvd. Hayward CA, 94541"
Waterworks Aquatics,Social Recreation,Swim,ACE FMS,Keith Domines,charterschool@waterworksswim.com,(949)-450-0777,waterworksswim.com,Sunnyvale @ City Sports Club,"1165 E. Arques Ave. Sunnyvale CA, 94085"
Waterworks Aquatics,Social Recreation,Swim,ACE FMS,Keith Domines,charterschool@waterworksswim.com,(949)-450-0777,waterworksswim.com,North San Jose @ City Sports Club,"1045 E. Brokaw Rd. San Jose CA, 95131"
Waterworks Aquatics,Social Recreation,Swim,ACE FMS,Keith Domines,charterschool@waterworksswim.com,(949)-450-0777,waterworksswim.com,Antioch @ City Sports Club,"5001 Lone Tree Way Antioch CA, 94531"
Waterworks Aquatics,Social Recreation,Swim,ACE FMS,Keith Domines,charterschool@waterworksswim.com,(949)-450-0777,waterworksswim.com,San Jose-Bascom,"1120 S. Bascom Ave. San Jose CA, 95128"
Waterworks Aquatics,Social Recreation,Swim,ACE FMS,Keith Domines,charterschool@waterworksswim.com,(949)-450-0777,waterworksswim.com,San Jose/Almaden @ City Sports Club,"5155 Cherry Ave. San Jose CA, 95118"
Waterworks Aquatics,Social Recreation,Swim,ACE FMS,Keith Domines,charterschool@waterworksswim.com,(949)-450-0777,waterworksswim.com,San Jose / Blossom Hill @ City Sports Club,"5502 Monterey Road #10 San Jose CA, 95138"
British Swim School Bay Area,Social Recreation,Swim,ACE FMS,Raquel Rose,Bayareaofficemanager@britishswimschool.com,(650)-502-8986,britishswimschool.com,24 Hour Fitness – Ocean Ave. Sport,"1850 Ocean Ave San Francisco, CA 94112"
British Swim School Bay Area,Social Recreation,Swim,ACE FMS,Raquel Rose,Bayareaofficemanager@britishswimschool.com,(650)-502-8986,britishswimschool.com,24 Hour Fitness – Potrero Hill,"1645 Bryant Street San Francisco, CA 94103"
British Swim School Bay Area,Social Recreation,Swim,ACE FMS,Raquel Rose,Bayareaofficemanager@britishswimschool.com,(650)-502-8986,britishswimschool.com,Embassy Suites – South San Francisco,"250 Gateway Boulevard South San Francisco, CA 94080"
